street_address,sale_price,mls_number,County,City,Subdivision,home_type,Floor_Plan,Bedrooms,Full_Baths,Half_Baths,Yr_Blt,Above_Grade_Finished_SF,Above_Grade_Finished_Source,Below_Grade_Finished_SF,Below_Grade_Finished_Source,Lot_Size,District,Fr_Pl,Fireplace,Bsmnt?,Bsmnt,Garage/Parking?,Construct,Arc_Style,Roof_desc,Lot_Desc,Floodpl,City_Limits,Cent air,Heating,Cooling,Water,Sewer,Warranty
"1700 N Lexington Street Harrisonville, MO 64701",50000,2202671,Cass,Harrisonville,Other,Single Family,Ranch,3,1,0,1940,1305,Public Record,0,Public Record,1.5,Harrisonville,0,,0,,1,Frame,,Composition,,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"405 E 164th Terrace Belton, MO 64012",50000,2201670,Cass,Belton,Holmes Hills,Single Family,Ranch,2,1,0,1940,740,Public Record,0,Public Record,0.34435261707989,Belton,0,,0,Crawl Space,0,"Frame, Stucco",Traditional,Composition,"City Lot, Estate Lot, Treed",0,0,0,Forced Air Gas,Window Unit(s),City/Public,Unknown,
"23319 Camp Branch Road Harrisonville, MO 64080",55000,2170546,Cass,Harrisonville,Other,Single Family,Ranch,3,1,1,1990,960,Public Record,0,Public Record,5,Pleasant Hill,0,,0,,1,Lap,Traditional,Composition,,0,-1,0,Space Heater(s),Window Unit(s),Rural,Septic,
"216 S Adams Street Raymore, MO 64083",55000,2198077,Cass,Raymore,Other,Single Family,2 Stories,3,1,1,1900,1708,Public Record,0,Other,0.413223140495868,Raymore-Peculiar,0,,0,"Cellar, Crawl Space",1,"Frame, Wood Siding","Traditional, Victorian",Composition,"City Limits, Corner Lot, Level, Treed",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"600 Lake Road Garden City, MO 64747",56500,2212446,Cass,Garden City,Hedge Trails,Single Family,Ranch,2,1,0,1974,960,Public Record,0,Public Record,0.214876033057851,Sherwood,0,,0,Crawl Space,1,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot",0,0,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"205 W North Avenue Belton, MO 64012",57000,2200110,Cass,Belton,Scott & Colberns,Single Family,Bungalow,2,1,0,1940,724,Public Record,0,Public Record,0.379476584022039,Belton,0,,0,,1,Vinyl Siding,,Composition,City Lot,0,1,1,Forced Air Electric,Central Electric,City/Public,City/Public,
"83 Spruce Street Garden City, MO 64747",59000,2230744,Cass,Garden City,Garden West,Single Family,2 Stories,3,2,0,1990,1386,Public Record,0,Public Record,2.29568411386593E-05,Sherwood,0,,1,Concrete,1,Other,,Composition,,0,0,1,Central Electric,Central Electric,City/Public,City/Public,
"206 Holden East Lynne, MO 64743",59000,2190822,Cass,East Lynne,East Lynne,Single Family,Bungalow,2,2,0,1940,1050,Public Record,0,Agent,0.261707988980716,East Lynne,0,,0,,1,Frame,Traditional,Composition,"City Limits, Corner Lot, Treed",0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"32007 E State Route Vv Highway Pleasant Hill, MO 64080",60000,2230787,Cass,Pleasant Hill,Other,Single Family,Ranch,2,1,0,1940,1040,Public Record,0,Agent,1.76000918273646,Pleasant Hill,0,,0,"Block, Crawl Space",1,"Frame, Vinyl Siding",Traditional,Composition,"Acreage, Treed",1,-1,1,"Forced Air Gas, Propane Gas",Central Electric,City/Public,Septic,
"204 S Lyne Street Raymore, MO 64083",60000,2176162,Cass,Raymore,Dikeland,Single Family,Bungalow,3,1,1,1976,924,Public Record,0,Public Record,0.522,Raymore-Peculiar,0,,0,,1,Vinyl Siding,Other,Other,Acreage,0,-1,1,Propane Rented,Central Electric,City/Public - Verify,Other,
"113 King Avenue Belton, MO 64012",60000,2216887,Cass,Belton,Countryside Manor,Single Family,1.5 Stories,3,1,0,1910,925,Other,0,Public Record,0.419421487603306,Belton,0,,1,Not Finished,1,Vinyl Siding,Traditional,Composition,"City Lot, Corner Lot, Treed",0,1,0,Forced Air Gas,Window Unit(s),City/Public,City/Public,
"1109 S Lexington Street Harrisonville, MO 64701",60000,2165992,Cass,Harrisonville,Other,Single Family,2 Stories,3,1,1,1920,1468,Public Record,0,Public Record,0.43,Harrisonville,0,,1,Full,1,Frame,,Composition,,0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"24811 S King Road Peculiar, MO 64078",60100,2174210,Cass,Peculiar,Homeland Acres,Single Family,Ranch,5,3,0,1991,1620,Public Record,0,Other,0.964187327823691,Raymore-Peculiar,1,Gas,1,"Concrete, Partial",1,Vinyl Siding,"Traditional, Other",Composition,"Acreage, Level, Treed",0,0,1,Propane Gas,Heat Pump,City/Public,Septic,
"321 N Independence Street Pleasant Hill, MO 64080",64000,2198195,Cass,Pleasant Hill,Other,Single Family,Ranch,3,2,0,1980,1277,RPR,0,RPR,0.26,Pleasant Hill,0,,1,"Concrete, Full, Walk Up",1,"Brick & Frame, Brick Trim",Traditional,Composition,"City Lot, Level",0,0,1,Central Electric,Central Electric,City/Public,City/Public,
"219 S Randolph Street Pleasant Hill, MO 64080",65000,2182071,Cass,Pleasant Hill,Millers 1st,Single Family,Ranch,3,1,0,1920,886,Public Record,0,Public Record,0.25068870523416,Pleasant Hill,0,,0,Crawl Space,1,Frame,Traditional,Composition,City Lot,0,1,0,Forced Air Gas,Window Unit(s),City/Public,City/Public,
"115 Spencer Street Peculiar, MO 64078",65000,2201074,Cass,Peculiar,Rock Island Estates,Single Family,Ranch,3,2,0,1964,1200,Public Record,422,Other,0.660422405876951,Raymore-Peculiar,1,"Great Room, Masonry, Wood Burning",1,"Daylight, Finished, Walk Up",1,"Stucco, Wood Siding",Traditional,Composition,"City Limits, City Lot, Estate Lot, Treed",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"16202 S Scott Road Pleasant Hill, MO 64080",65000,2209354,Cass,Pleasant Hill,Other,Single Family,Ranch,2,1,0,1983,924,Public Record,0,Public Record,2,Pleasant Hill,0,,0,,1,Other,Other,Composition,"Acreage, Treed",0,0,1,Forced Air Gas,Central Electric,Rural,Septic,
"704 2nd Street Belton, MO 64012",66000,2196785,Cass,Belton,Orig Belton,Single Family,Bungalow,3,1,0,1920,1108,Public Record,0,Agent,0.221487603305785,Belton,0,,0,Crawl Space,0,Wood Siding,Traditional,Composition,City Lot,0,1,0,Wall Furnace,Window Unit(s),City/Public,City/Public,
"700 Locust Street Pleasant Hill, MO 64080",66000,2197181,Cass,Pleasant Hill,Millers 1st,Single Family,Bungalow,3,1,0,1870,1267,Public Record,0,Public Record,0.184802571166208,Pleasant Hill,0,"Hearth Room, Other",1,"Full, Walk Out, Walk Up",1,"Board/Batten, Shingle/Shake",Traditional,Composition,"City Limits, Corner Lot, Treed",0,1,0,Forced Air Gas,Window Unit(s),City/Public,City/Public,
"306 Cline Street Pleasant Hill, MO 64080",67750,2176896,Cass,Pleasant Hill,Cline & Todd,Single Family,Bungalow,2,1,0,1950,572,Public Record,0,Public Record,0.151515151515152,Pleasant Hill,0,,0,Crawl Space,0,Frame,,Composition,City Lot,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"304 E South Street Harrisonville, MO 64701",68700,2235734,Cass,Harrisonville,Other,Single Family,Bungalow,3,1,0,1960,1512,Public Record,0,Public Record,0.341483011937557,Harrisonville,0,,1,"Full, Not Finished",0,Frame,,Composition,,0,0,1,Natural Gas,Central Electric,City/Public,City/Public,
"1301 S Butler Drive Harrisonville, MO 64701",69500,2196675,Cass,Harrisonville,Bowman Add,Single Family,Ranch,3,1,0,1955,864,Public Record,0,Public Record,0.130853994490358,Harrisonville,0,,1,"Concrete, Full, Not Finished",1,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Treed",0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"23610 E 175th Street Pleasant Hill, MO 64080",69750,2192536,Cass,Pleasant Hill,Other,Single Family,Ranch,2,2,0,1920,1526,Appraisal,0,Appraisal,4,Pleasant Hill,0,,1,Partial,0,Frame,Traditional,Composition,"Acreage, Corner Lot, Level, Treed",0,-1,0,"Forced Air Gas, Propane Gas",None,Rural,Unknown,
"501 S 5th Street Garden City, MO 64747",70500,2161010,Cass,Garden City,Garden City,Single Family,Ranch,2,1,0,1890,972,Public Record,0,,0.228719008264463,Sherwood,0,,0,,1,Frame,,Composition,,0,1,0,Other,Window Unit(s),City/Public,City/Public,
"615 N 2nd Street Creighton, MO 64739",71000,2168659,Cass,Creighton,Other,Single Family,Ranch,2,1,0,1960,720,Public Record,0,Public Record,0.686111111111111,Sherwood,0,,0,Crawl Space,1,Vinyl Siding,Traditional,Composition,Treed,0,1,1,Central Electric,Central Electric,City/Public,City/Public,
"109 Berry Avenue Belton, MO 64012",72000,2160162,Cass,Belton,North Belton,Single Family,Ranch,2,1,0,1990,675,Public Record,0,Public Record,0.140817263544536,Belton,0,,0,"Block, Crawl Space",1,Vinyl Siding,Traditional,Composition,Corner Lot,0,1,0,"Forced Air Gas, Floor Furnace",Window Unit(s),City/Public,City/Public,
"1107 Green Street Harrisonville, MO 64701",72000,2189515,Cass,Harrisonville,Jacks Add,Single Family,1.5 Stories,2,1,0,1906,1698,Public Record,0,Public Record,0.339,Harrisonville,0,,1,"Concrete, Not Finished, Partial",1,"Frame, Lap",Traditional,Composition,City Limits,0,1,1,Central Gas,Central Electric,City/Public,City/Public,
"209 Fir Street Garden City, MO 64747",72000,2166099,Cass,Garden City,Garden South,Single Family,Ranch,3,1,1,1915,863,Public Record,0,Public Record,0.353535353535354,Sherwood,0,,0,Crawl Space,1,Board/Batten,Traditional,Composition,Corner Lot,0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"614 C Street Belton, MO 64012",73000,2156021,Cass,Belton,Orig Belton,Single Family,Ranch,2,1,0,1930,675,Public Record,0,Public Record,0.15,Belton,0,,0,Crawl Space,0,Vinyl Siding,Traditional,Composition,"City Limits, City Lot, Level",0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"106 Sharon Lane Garden City, MO 64747",73450,2207265,Cass,Garden City,Garden West,Single Family,Earth Contact,3,2,0,1982,1422,Public Record,0,Public Record,0.457483930211203,Sherwood,1,"Gas, Gas Starter, Living Room",0,,1,"Brick & Frame, Log",Traditional,Composition,"City Limits, City Lot, Estate Lot, Treed",0,1,1,"Forced Air Electric, Natural Gas",Central Electric,City/Public,City/Public,
"305 Catron Avenue Belton, MO 64012",75000,2199838,Cass,Belton,Catron Sub,Single Family,Ranch,3,2,0,1952,912,Public Record,0,Public Record,0.36900826446281,Belton,0,,1,Concrete,1,Other,,Composition,,0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"504 W 5th Court Peculiar, MO 64078",75000,2191994,Cass,Peculiar,Kenwood Estates,Single Family,Raised Ranch,3,1,0,1981,863,Public Record,400,Public Record,0.159986225895317,Raymore-Peculiar,0,,1,Finished,1,Vinyl Siding,Traditional,Composition,City Lot,0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"210 Spruce Street Garden City, MO 64747",75000,2208131,Cass,Garden City,Gross Add,Single Family,Ranch,2,1,0,1925,840,Owner,0,Public Record,0.234848484848485,Sherwood,0,,0,,1,Vinyl Siding,"Colonial, Victorian",Composition,"City Lot, Level",0,1,1,Central Electric,"Central Electric, Heat Pump",City/Public,City/Public,
"204 S Jefferson East Lynne, MO 64743",76000,2215990,Cass,East Lynne,East Lynne,Single Family,Ranch,3,3,0,1989,1675,Public Record,0,Public Record,0.450413223140496,Harrisonville,0,,0,Crawl Space,1,Frame,,Metal,"City Lot, Corner Lot",0,1,1,Natural Gas,Central Electric,City/Public,City/Public,
"16013 Eastern Avenue Belton, MO 64012",76000,2214315,Cass,Belton,Martinwood,Single Family,Ranch,2,1,0,1960,816,Public Record,0,Public Record,0.378787878787879,Belton,0,,0,,0,"Frame, Vinyl Siding",A-Frame,Composition,,0,0,1,Central Gas,Central Electric,City/Public - Verify,City/Public,
"320 E Maple Street Drexel, MO 64742",76000,2158395,Cass,Drexel,Other,Single Family,Ranch,3,1,0,1960,1484,Public Record,0,Public Record,0.430440771349862,Drexel,1,Gas,0,,1,Other,Traditional,Other,City Lot,0,0,1,Central Electric,Central Electric,City/Public,City/Public,
"17406 Chestnut Street Belton, MO 64012",77000,2185845,Cass,Belton,West Belton,Single Family,Ranch,3,1,1,1960,1200,Public Record,0,Public Record,0.375619834710744,Belton,0,,0,Crawl Space,0,Vinyl Siding,Traditional,Composition,"City Lot, Level, Treed",0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"912 2nd Street Belton, MO 64012",77500,2209335,Cass,Belton,Orig Belton,Single Family,Bungalow,3,1,0,1948,971,Owner,0,Other,0.5,Belton,0,,1,Block,0,Vinyl Siding,Traditional,Composition,"City Lot, Corner Lot, Level, Treed",0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"8405 Heron Drive Freeman, MO 64746",78400,2213488,Cass,Freeman,Lake Annette,Single Family,Ranch,2,1,0,1965,888,RPR,0,Agent,0.165289256198347,Cass-Midway,1,"Electric, Great Room",0,Crawl Space,1,Board/Batten,Traditional,Composition,"Lake Front, Treed",0,0,0,Forced Air Gas,Window Unit(s),City/Public,Septic,
"503 Gum Street Garden City, MO 64747",80000,2195015,Cass,Garden City,Garden City,Single Family,Ranch,3,2,0,1989,1064,Public Record,0,Public Record,0.176767676767677,Sherwood,0,,0,Crawl Space,1,Vinyl Siding,Traditional,Composition,"City Lot, Treed",0,0,1,"Central Electric, Central Gas",Central Electric,City/Public,City/Public,
"802 S Ash Street Garden City, MO 64747",80000,2183323,Cass,Garden City,Garden City,Single Family,Ranch,3,1,0,1979,1080,Public Record,0,Public Record,0.172176308539945,Sherwood,0,,0,Crawl Space,1,Frame,,Composition,,0,0,1,Forced Air Electric,Central Electric,City/Public,City/Public,
"204 Chappell Drive Pleasant Hill, MO 64080",80000,2152459,Cass,Pleasant Hill,Other,Single Family,Ranch,3,2,0,1963,1236,Public Record,0,Public Record,0.34435261707989,Pleasant Hill,0,,1,"Concrete, Garage Entrance, Inside Entrance",1,Board/Batten,Traditional,Composition,,0,1,0,Other,"Attic Fan, Window Unit(s)",City/Public,City/Public,
"2203 Addie Drive Pleasant Hill, MO 64080",81000,2211166,Cass,Pleasant Hill,Henley Meadows,Single Family,Ranch,3,2,0,2005,1106,Public Record,0,Public Record,0.127410468319559,Pleasant Hill,0,,0,,1,"Brick Trim, Vinyl Siding",,Composition,,0,0,1,Heat Pump,Heat Pump,City/Public,City/Public,
"500 E 164th Terrace Belton, MO 64012",82000,2223300,Cass,Belton,Holmes Hills,Single Family,Ranch,3,1,0,1990,1890,RPR,0,Owner,0.339990817263544,Belton,0,,0,,0,Frame,,Composition,,0,0,0,Forced Air Gas,Window Unit(s),City/Public,Septic,
"306 W Walnut Street Archie, MO 64725",83500,2174402,Cass,Archie,Archie,Single Family,Bungalow,2,1,0,1930,791,Public Record,0,Owner,0.206611570247934,Archie,0,,0,,0,"Frame, Wood Siding",Traditional,Composition,,0,-1,1,"Forced Air Electric, Heat Pump","Central Electric, Heat Pump","City/Public, City/Public - Verify",City/Public,
"117 Brian Avenue Belton, MO 64012",83500,2193516,Cass,Belton,Belton Manor,Single Family,Split Entry,3,1,0,1990,1066,Public Record,0,Public Record,0.171602387511478,Belton,0,,1,"Garage Entrance, Inside Entrance, Walk Up",1,"Frame, Vinyl Siding",Traditional,Composition,,0,1,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,
"120 N McKissock Street Pleasant Hill, MO 64080",84000,2221756,Cass,Pleasant Hill,Miller's First Addition,Single Family,Ranch,2,1,0,1990,725,Public Record,0,Public Record,0.259986225895317,Pleasant Hill,0,,0,Crawl Space,0,Vinyl Siding,Traditional,Composition,"City Lot, Level, Treed",0,1,1,Natural Gas,Central Electric,City/Public,City/Public,
"405 E Pearl Street Harrisonville, MO 64701",85000,2222185,Cass,Harrisonville,Org Town Of Harrisonville,Single Family,Ranch,2,1,1,1945,1210,Public Record,0,Public Record,0.140909090909091,Harrisonville,1,Living Room,1,"Daylight, Not Finished",0,Brick & Frame,Traditional,Composition,City Limits,0,1,1,Natural Gas,Central Electric,City/Public,City/Public,
"505 Silverado Trail Belton, MO 64012",85000,2215213,Cass,Belton,Cimarron Trails,Single Family,Ranch,2,1,0,1960,1082,Public Record,594,Public Record,0.196969696969697,Belton,0,,1,"Inside Entrance, Not Finished",1,Wood Siding,Traditional,Composition,"City Limits, Level",0,1,1,Natural Gas,Central Electric,City/Public,City/Public,
"1002 Eastwood Road Harrisonville, MO 64701",85000,2170625,Cass,Harrisonville,Terry Add,Single Family,Ranch,3,1,0,1957,786,Public Record,383,Public Record,0.332415059687787,Harrisonville,0,,1,"Concrete, Not Finished, Partial",1,Board/Batten,,Composition,,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"203 S Washington Street Raymore, MO 64083",86000,2194519,Cass,Raymore,Other,Single Family,Bungalow,2,1,0,1900,978,Public Record,0,Public Record,0.413223140495868,Raymore-Peculiar,0,,1,Stone/Rock,1,"Frame, Vinyl Siding",Traditional,Composition,,0,0,1,Forced Air Gas,Central Electric,City/Public,Unknown,
"17120 Chula Vista Drive Belton, MO 64012",86500,2199192,Cass,Belton,West Belton,Single Family,Ranch,2,1,0,1960,720,Public Record,0,Public Record,0.393939393939394,Belton,0,,0,,0,"Frame, Metal Siding",,Composition,,0,0,1,Natural Gas,Central Electric,City/Public,City/Public,
"307 3rd Street Belton, MO 64012",86735,2181108,Cass,Belton,Orig Belton,Single Family,1.5 Stories,3,1,0,1900,1448,Public Record,0,Public Record,0.147658402203857,Belton,0,,0,Crawl Space,0,Frame,Traditional,Composition,City Lot,0,1,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"21523 S Dillon Road Pleasant Hill, MO 64080",87000,2187665,Cass,Pleasant Hill,Other,Single Family,2 Stories,3,2,0,1910,2332,Public Record,0,Public Record,5,Pleasant Hill,0,,0,Crawl Space,1,Frame,Traditional,Composition,Acreage,1,0,0,Central Electric,Central Electric,City/Public,Septic,
"24504 S Old Trail Road Harrisonville, MO 64701",87500,2220017,Cass,Harrisonville,Other,Single Family,Ranch,3,1,0,1950,1448,Public Record,0,Public Record,3,East Lynne,0,,0,"Block, Partial",1,Vinyl Siding,Traditional,Composition,,0,0,0,"Radiant, Wood Burn Stove",Window Unit(s),City/Public - Verify,Septic,
"24504 S Old Trail Road Harrisonville, MO 64701",87500,2220017,Cass,Harrisonville,Other,Single Family,Ranch,3,1,0,1950,1448,Public Record,0,Public Record,3,East Lynne,0,,0,"Block, Partial",1,Vinyl Siding,Traditional,Composition,,0,0,0,"Radiant, Wood Burn Stove",Window Unit(s),City/Public - Verify,Septic,
"22505 S Airport Road Pleasant Hill, MO 64080",87500,2162182,Cass,Pleasant Hill,Other,Single Family,2 Stories,4,1,1,1900,1753,Public Record,0,Public Record,2,Pleasant Hill,0,,1,"Crawl Space, Partial, Stone/Rock",0,"Frame, Vinyl Siding",Traditional,Composition,"Acreage, Level, Treed",0,0,1,Propane Gas,Central Electric,City/Public,Septic,
"904 Edgevale Terrace Harrisonville, MO 64701",88500,2204165,Cass,Harrisonville,Williams Add,Single Family,Ranch,2,1,0,1951,960,Public Record,0,Public Record,0.247933884297521,Harrisonville,0,,0,Crawl Space,1,Metal Siding,Traditional,Composition,"City Lot, Corner Lot, Treed",0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"703 E Mechanic Street Harrisonville, MO 64701",89700,2220355,Cass,Harrisonville,Org Town Of Harrisonville,Single Family,Ranch,3,1,0,1890,1410,Public Record,0,Public Record,0.37396694214876,Harrisonville,0,,1,"Concrete, Stone/Rock",1,Asbestos,,Composition,,0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"304 Lacy Lane Belton, MO 64012",90000,2218887,Cass,Belton,Lacy Estates,Single Family,Ranch,3,1,0,1990,1225,Public Record,0,Other,0.198002754820937,Belton,0,,1,"Full, Inside Entrance",1,Vinyl Siding,Traditional,Composition,City Lot,0,1,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
"930 E Oak Street Pleasant Hill, MO 64080",90000,2205886,Cass,Pleasant Hill,Other,Single Family,Ranch,3,2,0,1994,1056,Public Record,0,Public Record,0.292699724517906,Pleasant Hill,0,,0,Crawl Space,1,Other,Other,Other,"City Limits, Corner Lot, Level",0,1,1,Central Electric,Central Electric,City/Public,City/Public,
"305 W Washington Street Harrisonville, MO 64701",90000,2190894,Cass,Harrisonville,Org Town Of Harrisonville,Single Family,Ranch,3,2,0,1930,1686,Public Record,0,Public Record,1,Harrisonville,0,,0,Crawl Space,0,Wood Siding,,Composition,City Lot,0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"508 Lions Drive #167 Peculiar, MO 64078",90000,2151268,Cass,Peculiar,Kenwood Estates,Single Family,Raised Ranch,3,1,1,1983,1008,Public Record,0,Public Record,0.172176308539945,Cass-Midway,0,,1,Concrete,1,Frame,,Composition,,0,0,1,Forced Air Gas,Central Electric,City/Public,City/Public,
"1101 N Jerry Avenue Raymore, MO 64083",91000,2193036,Cass,Raymore,Mullendike,Single Family,Ranch,3,2,0,1981,1248,RPR,0,RPR,0.874196510560147,Raymore-Peculiar,0,,0,,0,Vinyl Siding,,Metal,"Acreage, City Limits, Stream(s), Treed",0,1,1,Heatpump/Gas,"Central Electric, Heat Pump",City/Public,City/Public,
"416 A Street Creighton, MO 64739",91000,2183191,Cass,Creighton,Other,Single Family,Ranch,3,1,1,1990,1108,Public Record,0,Public Record,1,Sherwood,0,,0,Crawl Space,1,"Frame, Lap",Traditional,Composition,"Acreage, City Limits",0,1,1,"Forced Air Gas, Propane Gas",Central Electric,City/Public,City/Public,
"201 N Ohio Street Archie, MO 64725",92000,2202590,Cass,Archie,High School Add,Single Family,Ranch,2,1,0,1945,832,Public Record,0,Public Record,0.13544536271809,Archie,0,,0,"Crawl Space, Slab",0,Metal Siding,Traditional,Composition,"City Limits, Corner Lot",0,1,1,Central Electric,Central Electric,City/Public - Verify,City/Public,
"903 2nd Street Belton, MO 64012",92500,2190800,Cass,Belton,Orig Belton,Single Family,Bungalow,2,1,0,1940,952,Public Record,0,Public Record,0.295316804407713,Belton,0,,1,Partial,1,Board/Batten,Traditional,Composition,Corner Lot,0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"1206 N Mullen Street Raymore, MO 64083",93000,2223072,Cass,Raymore,Mullendike,Single Family,Ranch,2,1,0,1968,912,Public Record,0,Public Record,0.437098255280074,Raymore-Peculiar,0,,1,"Concrete, Full, Walk Out",1,Frame,Traditional,Composition,Level,0,0,1,Natural Gas,Central Electric,City/Public,City/Public,
"38608 E Gunn City Road Garden City, MO 64747",94900,2201059,Cass,Garden City,Other,Single Family,1.5 Stories,4,2,0,1994,2081,Public Record,0,Agent,5,Harrisonville,0,,1,"Full, Walk Out",1,Frame,Traditional,Composition,Acreage,0,-1,1,"Forced Air Gas, Propane Gas",Central Electric,Rural,Septic,
